r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps,wall_clock_sec,lambda_guidance
1,10000.0,1.0,1.0,1.0,0.02682923525571823,0.02682923525571823,-0.027646657079458237,0.20718780159950256,0.4564209282398224,0.21288879215717316,20.530670166015625,0.0001,10000,6.01459388108924,0.1
2,20000.0,2.0,1.0,1.0,0.02131178230047226,0.02131178230047226,-0.037168893963098526,0.2130475789308548,0.49340489506721497,0.21284620463848114,20.585134506225586,0.0001,20000,11.948310305830091,0.1
4,40000.0,4.0,1.0,1.0,0.021767474710941315,0.021767474710941315,-0.038177937269210815,0.21322894096374512,0.5154103636741638,0.2143850326538086,20.621801376342773,0.0001,40000,23.82518775900826,0.1
6,60000.0,6.0,1.0,1.0,0.020909853279590607,0.020909853279590607,-0.040115922689437866,0.21245069801807404,0.520235002040863,0.21385398507118225,20.62837028503418,0.0001,60000,35.63827761216089,0.1
8,80000.0,8.0,1.0,1.0,0.020943591371178627,0.020943591371178627,-0.04366876929998398,0.21231964230537415,0.5236112475395203,0.2143629938364029,20.63551902770996,0.0001,80000,45.65529145114124,0.1
10,100000.0,10.0,1.0,1.0,0.022434841841459274,0.022434841841459274,-0.04375771805644035,0.2133202999830246,0.5233308672904968,0.21548214554786682,20.637840270996094,0.0001,100000,49.42299256520346,0.1
12,120000.0,12.0,1.0,1.0,0.021530361846089363,0.021530361846089363,-0.043229326605796814,0.21466374397277832,0.5271679162979126,0.21229323744773865,20.636375427246094,0.0001,120000,53.39340986730531,0.1
14,140000.0,14.0,1.0,1.0,0.021317889913916588,0.021317889913916588,-0.04074222967028618,0.21194800734519958,0.5233826041221619,0.21527636051177979,20.637004852294922,0.0001,140000,58.61735841212794,0.1
16,160000.0,16.0,1.0,1.0,0.020905612036585808,0.020905612036585808,-0.04237939789891243,0.2147635817527771,0.5248480439186096,0.216578871011734,20.640766143798828,0.0001,160000,67.0240646423772,0.1
18,180000.0,18.0,1.0,1.0,0.021388772875070572,0.021388772875070572,-0.03956996649503708,0.21259848773479462,0.5248631834983826,0.21592749655246735,20.63966941833496,0.0001,180000,84.5878298417665,0.1
