r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps,wall_clock_sec,r_times_kl
1,10000.0,1.0,1.0,1.0,0.3890632092952728,0.3890632092952728,0.0006499027949757874,0.03813055157661438,1.8771121501922607,0.7968246340751648,1.9109987020492554,0.0001,10000,5.9300388540141284,0.3890632092952728
2,20000.0,2.0,1.0,1.0,0.21946124732494354,0.21946124732494354,-0.0008929878240451217,0.05536399781703949,2.4972360134124756,0.776454508304596,1.9797290563583374,0.0001,20000,11.777985743712634,0.4389224946498871
4,40000.0,4.0,1.0,1.0,0.11549690365791321,0.11549690365791321,-0.00475498428568244,0.05693279951810837,3.254884958267212,0.7852783799171448,2.0675065517425537,0.0001,40000,19.723262310028076,0.46198761463165283
6,60000.0,6.0,1.0,1.0,0.09134727716445923,0.09134727716445923,-0.005058390088379383,0.05648394301533699,3.616126775741577,0.780243456363678,2.107581615447998,0.0001,60000,25.10220702830702,0.5480836629867554
8,80000.0,8.0,1.0,1.0,0.08386699855327606,0.08386699855327606,-0.008674114011228085,0.05719108134508133,3.8048698902130127,0.789713442325592,2.130312442779541,0.0001,80000,33.45825399784371,0.6709359884262085
10,100000.0,10.0,1.0,1.0,0.08078145980834961,0.08078145980834961,-0.0022069402039051056,0.05632114037871361,3.945194721221924,0.7878589630126953,2.1459336280822754,0.0001,100000,43.397860432974994,0.8078145980834961
12,120000.0,12.0,1.0,1.0,0.07887118309736252,0.07887118309736252,-0.007636128459125757,0.05797961726784706,4.0104079246521,0.7873731255531311,2.1529541015625,0.0001,120000,64.95690673496574,0.9464541971683502
14,140000.0,14.0,1.0,1.0,0.08095254749059677,0.08095254749059677,-0.0016589616425335407,0.05445747449994087,4.03973388671875,0.797809362411499,2.1574199199676514,0.0001,140000,58.56979057006538,1.1333356648683548
16,160000.0,16.0,1.0,1.0,0.08012339472770691,0.08012339472770691,-0.014613058418035507,0.057063713669776917,4.080042362213135,0.7900656461715698,2.1606693267822266,0.0001,160000,71.55418903799728,1.2819743156433105
18,180000.0,18.0,1.0,1.0,0.08000205457210541,0.08000205457210541,-0.006569367367774248,0.05656152218580246,4.114464282989502,0.7912459373474121,2.164707660675049,0.0001,180000,80.70104249008,1.4400369822978973
20,200000.0,20.0,1.0,1.0,0.07807648926973343,0.07807648926973343,-0.011937065050005913,0.055283769965171814,4.143747329711914,0.7907254695892334,2.1682019233703613,0.0001,200000,97.38342882320285,1.5615297853946686
60,600000.0,60.0,1.0,1.0,0.07770491391420364,0.07770491391420364,-0.010306385345757008,0.05975683033466339,4.20088005065918,0.7892420291900635,2.1740996837615967,0.0001,600000,290.0481025087647,4.662294834852219
80,800000.0,80.0,1.0,1.0,0.07966329157352448,0.07966329157352448,-0.0012974535347893834,0.05442505702376366,4.191689491271973,0.7923288345336914,2.174027919769287,0.0001,800000,386.6386348279193,6.373063325881958
100,1000000.0,100.0,1.0,1.0,0.07739780098199844,0.07739780098199844,-0.011652613990008831,0.061288632452487946,4.19202184677124,0.7882235050201416,2.17313814163208,0.0001,1000000,507.76304968073964,7.739780098199844
