r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean,var,target_var,radius_m,eta,n_steps,wall_clock_sec,r_times_kl
1,20.0,1.0,1.0,1.0,0.05776139348745346,0.05776139348745346,-0.008054865524172783,1.3294447660446167,2.0,1.0,0.05,20,0.08256989577785134,0.05776139348745346
100,2000.0,100.0,1.0,1.0,0.010041818022727966,0.010041818022727966,-0.003481797408312559,2.0200307369232178,2.0,1.0,0.05,2000,0.3751494553871453,1.0041818022727966
200,4000.0,200.0,1.0,1.0,0.010431516915559769,0.010431516915559769,0.004358716309070587,2.0352623462677,2.0,1.0,0.05,4000,0.7136770328506827,2.0863033831119537
300,6000.0,300.0,1.0,1.0,0.009652163833379745,0.009652163833379745,-0.0024811208713799715,2.011570692062378,2.0,1.0,0.05,6000,1.0528788296505809,2.8956491500139236
400,8000.0,400.0,1.0,1.0,0.009423078037798405,0.009423078037798405,0.0020972113125026226,2.0330820083618164,2.0,1.0,0.05,8000,1.4045657380484045,3.769231215119362
500,10000.0,500.0,1.0,1.0,0.009673964232206345,0.009673964232206345,-0.0021648197434842587,2.020266056060791,2.0,1.0,0.05,10000,1.7406462179496884,4.836982116103172
600,12000.0,600.0,1.0,1.0,0.009944074787199497,0.009944074787199497,0.004819671623408794,2.019263744354248,2.0,1.0,0.05,12000,2.106279278639704,5.966444872319698
700,14000.0,700.0,1.0,1.0,0.00928458571434021,0.00928458571434021,0.006180036813020706,2.003024101257324,2.0,1.0,0.05,14000,2.424063625279814,6.499210000038147
800,16000.0,800.0,1.0,1.0,0.008736195042729378,0.008736195042729378,-0.007532139308750629,2.040245532989502,2.0,1.0,0.05,16000,2.7664800039492548,6.988956034183502
900,18000.0,900.0,1.0,1.0,0.009166065603494644,0.009166065603494644,0.006888366304337978,1.9920461177825928,2.0,1.0,0.05,18000,3.1260525160469115,8.24945904314518
1000,20000.0,1000.0,1.0,1.0,0.009900450706481934,0.009900450706481934,0.007377320434898138,2.020826816558838,2.0,1.0,0.05,20000,3.4559661811217666,9.900450706481934
