r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean,var,target_var,radius_m,eta,n_steps,wall_clock_sec,r_times_kl
1,10000.0,1.0,1.0,1.0,0.5357409715652466,0.5357409715652466,-0.0013213655911386013,2.25897479057312,6.0625,2.25,0.0001,10000,2.6081484290771186,0.5357409715652466
2,20000.0,2.0,1.0,1.0,0.2678409814834595,0.2678409814834595,-0.0047277119010686874,3.1910669803619385,6.0625,2.25,0.0001,20000,5.0357740460895,0.535681962966919
4,40000.0,4.0,1.0,1.0,0.08659131824970245,0.08659131824970245,-0.010016750544309616,4.333589553833008,6.0625,2.25,0.0001,40000,10.01050388533622,0.3463652729988098
6,60000.0,6.0,1.0,1.0,0.0371667817234993,0.0371667817234993,-0.0012134249554947019,4.9316534996032715,6.0625,2.25,0.0001,60000,14.963493306189775,0.2230006903409958
8,80000.0,8.0,1.0,1.0,0.01939992420375347,0.01939992420375347,-0.005557551514357328,5.284164905548096,6.0625,2.25,0.0001,80000,18.806343188975006,0.15519939363002777
10,100000.0,10.0,1.0,1.0,0.011797608807682991,0.011797608807682991,0.0009712240425869823,5.4932780265808105,6.0625,2.25,0.0001,100000,17.60083630308509,0.11797608807682991
12,120000.0,12.0,1.0,1.0,0.008061559870839119,0.008061559870839119,-0.01259700208902359,5.644632339477539,6.0625,2.25,0.0001,120000,21.08698023110628,0.09673871845006943
14,140000.0,14.0,1.0,1.0,0.006657964549958706,0.006657964549958706,0.010946045629680157,5.730061054229736,6.0625,2.25,0.0001,140000,24.655117292888463,0.09321150369942188
16,160000.0,16.0,1.0,1.0,0.005577153991907835,0.005577153991907835,0.011851872317492962,5.797745227813721,6.0625,2.25,0.0001,160000,28.209650647826493,0.08923446387052536
18,180000.0,18.0,1.0,1.0,0.0047857556492090225,0.0047857556492090225,-0.0073203882202506065,5.840229511260986,6.0625,2.25,0.0001,180000,31.728299718815833,0.0861436016857624
20,200000.0,20.0,1.0,1.0,0.00487571069970727,0.00487571069970727,-0.003754917299374938,5.860371112823486,6.0625,2.25,0.0001,200000,35.261642501689494,0.0975142139941454
60,600000.0,60.0,1.0,1.0,0.004034450277686119,0.004034450277686119,-0.004231029190123081,6.058420181274414,6.0625,2.25,0.0001,600000,125.99132157629356,0.24206701666116714
80,800000.0,80.0,1.0,1.0,0.0036522075533866882,0.0036522075533866882,-0.0023752690758556128,6.044643878936768,6.0625,2.25,0.0001,800000,142.2926558270119,0.29217660427093506
100,1000000.0,100.0,1.0,1.0,0.0036494566593319178,0.0036494566593319178,0.0034021788742393255,6.044233798980713,6.0625,2.25,0.0001,1000000,230.77226861193776,0.3649456659331918
