r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean,var,target_var,radius_m,eta,n_steps
1.0,0.0,0.0,0.0,0.0,0.0025931857526302338,1.292888879776001,-0.0002576704428065568,0.9992316961288452,1.0043912588251316,0.06626657396554947,0.0001,10000.0
1.0,312.0,0.031200000000000002,0.031200000000000002,0.031200000000000002,0.0026295986026525497,1.2923099994659424,-0.0004897517501376569,1.000207781791687,1.0067507277336196,0.08216281235218048,0.0001,10000.0
1.0,625.0,0.0625,0.0625,0.0625,0.002733815461397171,1.2899389266967773,-0.00020720732572954148,1.0034706592559814,1.0102519442757745,0.10125188529491425,0.0001,10000.0
1.0,938.0,0.09380000000000001,0.09380000000000001,0.09380000000000001,0.0028250161558389664,1.2914458513259888,0.0011415043845772743,1.0029267072677612,1.015358465713213,0.12392927706241608,0.0001,10000.0
1.0,1250.0,0.125,0.125,0.125,0.0027571457903832197,1.2916109561920166,0.0013954757014289498,1.0029078722000122,1.02266953604779,0.1505640596151352,0.0001,10000.0
1.0,1562.0,0.1562,0.1562,0.1562,0.002928172703832388,1.292527675628662,0.002157071838155389,1.0025335550308228,1.0330111829995907,0.1816897988319397,0.0001,10000.0
1.0,1875.0,0.1875,0.1875,0.1875,0.0032189690973609686,1.2902263402938843,0.0013359353179112077,1.0040974617004395,1.047478640645027,0.21789593994617462,0.0001,10000.0
1.0,2188.0,0.21880000000000002,0.21880000000000002,0.21880000000000002,0.0035200787242501974,1.2873520851135254,0.002320010680705309,1.0067410469055176,1.067362956456173,0.2595437467098236,0.0001,10000.0
1.0,2500.0,0.25,0.25,0.25,0.004490669816732407,1.2837090492248535,0.0024861288256943226,1.0116164684295654,1.0941831067508057,0.30689266324043274,0.0001,10000.0
1.0,2812.0,0.2812,0.2812,0.2812,0.005252685397863388,1.2790262699127197,0.0008386056870222092,1.0169456005096436,1.129911719999317,0.3604326844215393,0.0001,10000.0
1.0,3125.0,0.3125,0.3125,0.3125,0.00776180624961853,1.275132656097412,0.0016676589148119092,1.022270679473877,1.1769566818735067,0.42066219449043274,0.0001,10000.0
1.0,3438.0,0.3438,0.3438,0.3438,0.010789088904857635,1.2667365074157715,0.0015583635540679097,1.031300663948059,1.2377777946387596,0.4876246452331543,0.0001,10000.0
1.0,3750.0,0.375,0.375,0.375,0.015428666956722736,1.2536934614181519,0.0015539329033344984,1.0476773977279663,1.3149052597050037,0.5611642003059387,0.0001,10000.0
1.0,4062.0,0.4062,0.4062,0.4062,0.02275235578417778,1.2409710884094238,0.0018975099083036184,1.063617467880249,1.4114454700371084,0.6414401531219482,0.0001,10000.0
1.0,4375.0,0.4375,0.4375,0.4375,0.03308916836977005,1.2230253219604492,0.0008012151811271906,1.0846185684204102,1.5307770500831452,0.7285444736480713,0.0001,10000.0
1.0,4688.0,0.46880000000000005,0.46880000000000005,0.46880000000000005,0.04735906794667244,1.202567219734192,0.0009812167845666409,1.1083897352218628,1.6754576078930121,0.8218622803688049,0.0001,10000.0
1.0,5000.0,0.5,0.5,0.5,0.06631699204444885,1.1804957389831543,0.0005708824610337615,1.1353954076766968,1.8473517074271655,0.920517086982727,0.0001,10000.0
1.0,5312.0,0.5312,0.5312,0.5312,0.09077678620815277,1.154770851135254,0.0005208380171097815,1.1678625345230103,2.048703789049398,1.0240623950958252,0.0001,10000.0
1.0,5625.0,0.5625,0.5625,0.5625,0.12060081958770752,1.1234943866729736,0.0013996569905430079,1.2055909633636475,2.281250937369819,1.1319235563278198,0.0001,10000.0
1.0,5938.0,0.5938,0.5938,0.5938,0.15729059278964996,1.091780662536621,0.0012318234657868743,1.2471368312835693,2.5441930268991797,1.242655634880066,0.0001,10000.0
1.0,6250.0,0.625,0.625,0.625,0.19938939809799194,1.0555832386016846,0.0020056054927408695,1.2950224876403809,2.834948782940046,1.3546028137207031,0.0001,10000.0
1.0,6562.0,0.6562,0.6562,0.6562,0.24635756015777588,1.0164644718170166,0.0016398418229073286,1.348231554031372,3.1511472216108274,1.4666789770126343,0.0001,10000.0
1.0,6875.0,0.6875,0.6875,0.6875,0.2975674271583557,0.9751918315887451,0.001506354077719152,1.4061423540115356,3.4890459452435607,1.5776710510253906,0.0001,10000.0
1.0,7188.0,0.7188,0.7188,0.7188,0.3491806387901306,0.9302907586097717,0.0025857740547508,1.473788857460022,3.8410682678222656,1.685546875,0.0001,10000.0
1.0,7500.0,0.75,0.75,0.75,0.4026143550872803,0.8866506814956665,0.0017521653790026903,1.542371392250061,4.197871208897652,1.7882592678070068,0.0001,10000.0
1.0,7812.0,0.7812,0.7812,0.7812,0.4523475766181946,0.84042888879776,0.000360450881998986,1.618699073791504,4.551108965005611,1.8844386339187622,0.0001,10000.0
1.0,8125.0,0.8125,0.8125,0.8125,0.4987334907054901,0.7959972620010376,-0.00014635513070970774,1.6964101791381836,4.891421123558544,1.9726685285568237,0.0001,10000.0
1.0,8438.0,0.8438,0.8438,0.8438,0.5362122058868408,0.7502514719963074,-0.000725184625480324,1.7816343307495117,5.206669944877831,2.0510168075561523,0.0001,10000.0
1.0,8750.0,0.875,0.875,0.875,0.5625420212745667,0.7042912244796753,-0.0014556361129507422,1.8716740608215332,5.485126311267095,2.117811679840088,0.0001,10000.0
1.0,9062.0,0.9062,0.9062,0.9062,0.5769884586334229,0.6598737835884094,-0.0009688469581305981,1.9654659032821655,5.717746306495485,2.172037363052368,0.0001,10000.0
1.0,9375.0,0.9375,0.9375,0.9375,0.5767710208892822,0.6157591342926025,-0.001589690218679607,2.063985586166382,5.896212786218314,2.2127387523651123,0.0001,10000.0
1.0,9688.0,0.9688,0.9688,0.9688,0.5637093782424927,0.5750691890716553,-0.00201540463604033,2.159674644470215,6.012701794141549,2.2389063835144043,0.0001,10000.0
1.0,10000.0,1.0,1.0,1.0,0.5357409715652466,0.5357409715652466,-0.0013213655911386013,2.25897479057312,6.0625,2.25,0.0001,10000.0
2.0,0.0,0.0,0.0,0.0,0.0025931857526302338,1.292888879776001,-0.0002576704428065568,0.9992316961288452,1.0043912588251316,0.06626657396554947,0.0001,20000.0
2.0,625.0,0.0625,0.03125,0.03125,0.002470658626407385,1.2898833751678467,0.0002952570212073624,1.0021820068359375,1.006755308696527,0.08219068497419357,0.0001,20000.0
2.0,1250.0,0.125,0.0625,0.0625,0.002655305899679661,1.2893469333648682,0.0007601771503686905,1.002880573272705,1.0102519442757745,0.10125188529491425,0.0001,20000.0
2.0,1875.0,0.1875,0.09375,0.09375,0.0027507836930453777,1.2858041524887085,-0.00011728576646419242,1.007277250289917,1.0153487222751791,0.12388996034860611,0.0001,20000.0
2.0,2500.0,0.25,0.125,0.125,0.0026477351784706116,1.2848964929580688,-7.168563752202317e-05,1.0091729164123535,1.02266953604779,0.1505640596151352,0.0001,20000.0
2.0,3125.0,0.3125,0.15625,0.15625,0.002801036462187767,1.2839128971099854,2.038940328930039e-05,1.0108695030212402,1.0330307278253505,0.1817435771226883,0.0001,20000.0
2.0,3750.0,0.375,0.1875,0.1875,0.0027947211638092995,1.2819247245788574,-0.002348953392356634,1.0131136178970337,1.047478640645027,0.21789593994617462,0.0001,20000.0
